scenario_id,design,method,seed,equal_budget_replications,policy_evaluation_budget,selected_idx,selected_alpha_on,selected_alpha_off,visited_policies,holdout_objective,exhaustive_holdout_objective,regret_vs_exhaustive,exact_match
F36,factorial,GP_BO,3,656,32,0,2.0,2.0,32,3.53523589722779,3.53523589722779,0.0,1
F36,factorial,random_RS,4,656,32,78,26.0,2.0,32,3.6175785712514967,3.53523589722779,0.023291988545453796,0
F36,factorial,GP_BO,4,656,32,0,2.0,2.0,32,3.53523589722779,3.53523589722779,0.0,1
R03,lhs,diffusion_topk,0,510,25,1,7.059748964826046,3.529874482413023,25,2.312304821518256,2.312304821518256,0.0,1
R03,lhs,high_fidelity_local_search,0,510,25,17,21.179246894478133,10.589623447239068,25,2.4379710931399865,2.312304821518256,0.054346758460339345,0
R03,lhs,MIGR_H,0,510,25,0,3.529874482413023,3.529874482413023,33,2.3129856692012747,2.312304821518256,0.00029444547132495276,0
R03,lhs,exhaustive,0,510,25,1,7.059748964826046,3.529874482413023,190,2.312304821518256,2.312304821518256,0.0,1
R03,lhs,random_RS,0,510,25,0,3.529874482413023,3.529874482413023,25,2.3129856692012747,2.312304821518256,0.00029444547132495276,0
R03,lhs,GP_BO,0,510,25,1,7.059748964826046,3.529874482413023,25,2.312304821518256,2.312304821518256,0.0,1
R03,lhs,random_RS,1,510,25,6,14.119497929652091,3.529874482413023,25,2.352683779296572,2.312304821518256,0.017462644804677387,0
R03,lhs,GP_BO,1,510,25,0,3.529874482413023,3.529874482413023,25,2.3129856692012747,2.312304821518256,0.00029444547132495276,0
R03,lhs,random_RS,2,510,25,4,10.589623447239068,7.059748964826046,25,2.3833930566913826,2.312304821518256,0.030743453246985995,0
R03,lhs,GP_BO,2,510,25,1,7.059748964826046,3.529874482413023,25,2.312304821518256,2.312304821518256,0.0,1
R03,lhs,random_RS,3,510,25,6,14.119497929652091,3.529874482413023,25,2.352683779296572,2.312304821518256,0.017462644804677387,0
R03,lhs,GP_BO,3,510,25,0,3.529874482413023,3.529874482413023,25,2.3129856692012747,2.312304821518256,0.00029444547132495276,0
R03,lhs,random_RS,4,510,25,2,7.059748964826046,7.059748964826046,25,2.354217665968945,2.312304821518256,0.01812600313792946,0
R03,lhs,GP_BO,4,510,25,0,3.529874482413023,3.529874482413023,25,2.3129856692012747,2.312304821518256,0.00029444547132495276,0
R06,lhs,diffusion_topk,0,516,25,0,3.3242412372975574,3.3242412372975574,25,1.1374965977936264,1.1374965977936264,0.0,1
R06,lhs,high_fidelity_local_search,0,516,25,30,26.593929898380456,9.972723711892671,25,1.233248447321195,1.1374965977936264,0.0841777019054792,0
R06,lhs,MIGR_H,0,516,25,0,3.3242412372975574,3.3242412372975574,34,1.1374965977936264,1.1374965977936264,0.0,1
R06,lhs,exhaustive,0,516,25,0,3.3242412372975574,3.3242412372975574,190,1.1374965977936264,1.1374965977936264,0.0,1
R06,lhs,random_RS,0,516,25,0,3.3242412372975574,3.3242412372975574,25,1.1374965977936264,1.1374965977936264,0.0,1
R06,lhs,GP_BO,0,516,25,0,3.3242412372975574,3.3242412372975574,25,1.1374965977936264,1.1374965977936264,0.0,1
R06,lhs,random_RS,1,516,25,6,13.29696494919023,3.3242412372975574,25,1.1652985285147084,1.1374965977936264,0.024441330879590016,0
R06,lhs,GP_BO,1,516,25,0,3.3242412372975574,3.3242412372975574,25,1.1374965977936264,1.1374965977936264,0.0,1
R06,lhs,random_RS,2,516,25,4,9.972723711892671,6.648482474595115,25,1.1731733236008963,1.1374965977936264,0.03136424836476094,0
R06,lhs,GP_BO,2,516,25,0,3.3242412372975574,3.3242412372975574,25,1.1374965977936264,1.1374965977936264,0.0,1
R06,lhs,random_RS,3,516,25,6,13.29696494919023,3.3242412372975574,25,1.1652985285147084,1.1374965977936264,0.024441330879590016,0
R06,lhs,GP_BO,3,516,25,0,3.3242412372975574,3.3242412372975574,25,1.1374965977936264,1.1374965977936264,0.0,1
R06,lhs,random_RS,4,516,25,2,6.648482474595115,6.648482474595115,25,1.1646596460820513,1.1374965977936264,0.02387967431385056,0
