scenario_id,method,budget_policies,seed,selected_idx,regret,exact
F36,diffusion_residual_GP,12,4,0,0.0,1
F36,GP_BO,20,0,0,0.0,1
F36,diffusion_residual_GP,20,0,0,0.0,1
F36,GP_BO,20,1,0,0.0,1
F36,diffusion_residual_GP,20,1,0,0.0,1
F36,GP_BO,20,2,0,0.0,1
F36,diffusion_residual_GP,20,2,0,0.0,1
F36,GP_BO,20,3,0,0.0,1
F36,diffusion_residual_GP,20,3,0,0.0,1
F36,GP_BO,20,4,0,0.0,1
F36,diffusion_residual_GP,20,4,0,0.0,1
F36,GP_BO,30,0,0,0.0,1
F36,diffusion_residual_GP,30,0,0,0.0,1
F36,GP_BO,30,1,0,0.0,1
F36,diffusion_residual_GP,30,1,0,0.0,1
F36,GP_BO,30,2,0,0.0,1
F36,diffusion_residual_GP,30,2,0,0.0,1
F36,GP_BO,30,3,0,0.0,1
F36,diffusion_residual_GP,30,3,0,0.0,1
F36,GP_BO,30,4,0,0.0,1
F36,diffusion_residual_GP,30,4,0,0.0,1
F36,GP_BO,44,0,0,0.0,1
F36,diffusion_residual_GP,44,0,0,0.0,1
F36,GP_BO,44,1,0,0.0,1
F36,diffusion_residual_GP,44,1,0,0.0,1
F36,GP_BO,44,2,0,0.0,1
F36,diffusion_residual_GP,44,2,0,0.0,1
F36,GP_BO,44,3,0,0.0,1
F36,diffusion_residual_GP,44,3,0,0.0,1
F36,GP_BO,44,4,0,0.0,1
F36,diffusion_residual_GP,44,4,0,0.0,1
R03,GP_BO,12,0,0,0.00029444547132495276,0
R03,diffusion_residual_GP,12,0,1,0.0,1
R03,GP_BO,12,1,0,0.00029444547132495276,0
R03,diffusion_residual_GP,12,1,1,0.0,1
R03,GP_BO,12,2,0,0.00029444547132495276,0
R03,diffusion_residual_GP,12,2,1,0.0,1
R03,GP_BO,12,3,0,0.00029444547132495276,0
R03,diffusion_residual_GP,12,3,1,0.0,1
R03,GP_BO,12,4,0,0.00029444547132495276,0
R03,diffusion_residual_GP,12,4,1,0.0,1
R03,GP_BO,20,0,0,0.00029444547132495276,0
R03,diffusion_residual_GP,20,0,1,0.0,1
R03,GP_BO,20,1,0,0.00029444547132495276,0
R03,diffusion_residual_GP,20,1,1,0.0,1
R03,GP_BO,20,2,0,0.00029444547132495276,0
R03,diffusion_residual_GP,20,2,1,0.0,1
R03,GP_BO,20,3,0,0.00029444547132495276,0
R03,diffusion_residual_GP,20,3,1,0.0,1
R03,GP_BO,20,4,0,0.00029444547132495276,0
R03,diffusion_residual_GP,20,4,1,0.0,1
R03,GP_BO,30,0,1,0.0,1
R03,diffusion_residual_GP,30,0,1,0.0,1
