scenario_id,method,budget_policies,median_regret,p90_seed_regret,success_1,success_5,exact
V09,GP_BO,30,0.0,0.0,1.0,1.0,1.0
V09,GP_BO,44,0.0,0.0,1.0,1.0,1.0
V09,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
V09,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
V09,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
V09,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
V10,GP_BO,12,0.0,0.0,1.0,1.0,1.0
V10,GP_BO,20,0.0,0.0,1.0,1.0,1.0
V10,GP_BO,30,0.0,0.0,1.0,1.0,1.0
V10,GP_BO,44,0.0,0.0,1.0,1.0,1.0
V10,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
V10,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
V10,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
V10,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
V11,GP_BO,12,0.0,0.0,1.0,1.0,0.0
V11,GP_BO,20,0.0,0.0,1.0,1.0,0.2
V11,GP_BO,30,0.0,0.0,1.0,1.0,1.0
V11,GP_BO,44,0.0,0.0,1.0,1.0,1.0
V11,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
V11,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
V11,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
V11,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
V12,GP_BO,12,0.0,0.0,1.0,1.0,0.0
V12,GP_BO,20,0.0,0.0,1.0,1.0,0.8
V12,GP_BO,30,0.0,0.0,1.0,1.0,1.0
V12,GP_BO,44,0.0,0.0,1.0,1.0,1.0
V12,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
V12,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
V12,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
V12,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
