scenario_id,rho,qH,tau,method,init_seed,selected_idx,reference_idx,same_policy_as_reference,replications,viol_cost,viol_B_H,viol_B_L,upper_cost,upper_B_H,upper_B_L,max_upper,certified,mean_cost_excess,median_cost_excess,p90_cost_excess,max_cost_excess,mean_delta_B_H,mean_delta_B_L
BG10,0.9,0.5,2.0,Guarded-GP,0,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,Guarded-GP,1,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,Guarded-GP,2,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,Guarded-GP,3,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,Guarded-GP,4,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,DR-BGS,0,6,6,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,DR-BGS,1,6,6,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,DR-BGS,2,6,6,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,DR-BGS,3,6,6,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,DR-BGS,4,6,6,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,Guarded-GP,0,15,6,0,150,9,4,12,0.11551670716468626,0.0707199996213766,0.14061114438765027,0.14061114438765027,0,-0.0031841199454559314,0.0,0.0,0.871922355958314,0.0008642351052128185,0.0025376996245593574
BG11,0.9,0.8,0.5,Guarded-GP,1,21,6,0,150,11,5,17,0.1323483520228078,0.08012133003784622,0.18076388639907262,0.18076388639907262,0,-0.01715777421064424,0.0,6.797054430660595e-05,0.871922355958314,0.0018233736892623198,0.005194739619497622
