scenario_id,rho,qH,tau,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,exhaustive_train_idx,evaluated_policies,holdout_op_cost,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_excess,viol_H,viol_L,upper_H,upper_L,certified,cert_mean_B_H,cert_mean_B_L,cert_mean_W,cert_mean_cloud
BG04,0.7,0.5,2.0,DR-BGS,3,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
BG04,0.7,0.5,2.0,DR-BGS,4,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
BG04,0.7,0.5,2.0,Guarded-GP,0,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
BG04,0.7,0.5,2.0,Guarded-GP,1,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
BG04,0.7,0.5,2.0,Guarded-GP,2,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
BG04,0.7,0.5,2.0,Guarded-GP,3,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
BG04,0.7,0.5,2.0,Guarded-GP,4,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
BG05,0.7,0.8,0.5,DR-BGS,0,10,10.0,2.0,10,20,0.6109880801443849,0.23030650585834095,0.08438413472120807,0.568796149491848,0.0,150,103,1.0,0.7598480539030887,0,0.23195352276724454,0.08462131367197864,0.28418221074158645,0.5745099956743528
BG05,0.7,0.8,0.5,DR-BGS,1,10,10.0,2.0,10,20,0.6109880801443849,0.23030650585834095,0.08438413472120807,0.568796149491848,0.0,150,103,1.0,0.7598480539030887,0,0.23195352276724454,0.08462131367197864,0.28418221074158645,0.5745099956743528
BG05,0.7,0.8,0.5,DR-BGS,2,10,10.0,2.0,10,20,0.6109880801443849,0.23030650585834095,0.08438413472120807,0.568796149491848,0.0,150,103,1.0,0.7598480539030887,0,0.23195352276724454,0.08462131367197864,0.28418221074158645,0.5745099956743528
