scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate,group
F27,factorial,136,34.0,2.0,0.8,4.059573069157371,3.3152311245124424,0.0561127015642204,3.324692539908768,0.0309433629133677,0.4899140195316939,0.2353165919463681,0.1658740206386901,0.2677101972666695,0.1841481481481481,development
F27,factorial,137,34.0,4.0,0.75,4.130040970140564,3.342548084650327,0.0625644165025528,3.3677747473577977,0.0497302304960529,0.497337575063019,0.2382998821268774,0.1691499536604991,0.2582538674990248,0.1864074074074074,development
F27,factorial,138,34.0,6.0,0.7,4.159174740331986,3.4535766591943102,0.0692025042626116,3.3850557687217937,0.0532007812604316,0.4999245651556985,0.2398054157964227,0.1692985609266326,0.2553225731411433,0.188037037037037,development
F27,factorial,139,34.0,8.0,0.65,4.184942949878938,3.421909939239713,0.0479406662443972,3.44388675330817,0.04477777689077,0.505878652780599,0.2444922409319342,0.1725615607790111,0.2467271570428039,0.1894444444444444,development
F27,factorial,140,34.0,10.0,0.6,4.214566115237449,3.4820544103506017,0.0475175942177612,3.475170393657517,0.0403770272701486,0.5109119631215181,0.2467823217247207,0.1744199878918621,0.2415409742365444,0.188,development
F27,factorial,141,34.0,12.0,0.55,4.250624808224148,3.495526180335099,0.0612957529833108,3.481454783161745,0.0405314256127248,0.5131791242762034,0.2471112549186991,0.1749485805387527,0.2391666334066754,0.1919629629629629,development
F27,factorial,142,34.0,14.0,0.5,4.294618092662639,3.5794193232836578,0.0570567087093471,3.5127969481314643,0.0395079282696519,0.5195513692711287,0.2493237141998813,0.1763224077151269,0.2368096702948176,0.1955555555555555,development
F27,factorial,143,34.0,16.0,0.45,4.347709580726246,3.540121126748069,0.0684157699995166,3.578270681919972,0.0468880961057476,0.5282390427284237,0.2543551050618539,0.1795612142179711,0.2303102121123219,0.1967407407407407,development
F27,factorial,144,34.0,18.0,0.4,4.4109465952806906,3.624936958618546,0.0761204722880124,3.643069397197293,0.0394028202189484,0.5392800759212444,0.2589525798699604,0.1833011287118139,0.2240428031876376,0.2001851851851851,development
F27,factorial,145,34.0,20.0,0.35,4.485362386831395,3.698519281091536,0.0652519550478147,3.7031550043481967,0.0389665026356567,0.5517266680775,0.2631170818315614,0.1859182696290493,0.2218473755298381,0.204037037037037,development
F27,factorial,146,34.0,22.0,0.3,4.572031785043628,3.78977802232822,0.0652888084680179,3.7934265938821503,0.0449214941430363,0.5660917971401092,0.2696407302235447,0.1910189826820744,0.2135201512056343,0.2062962962962962,development
F27,factorial,147,34.0,24.0,0.25,4.672065718962962,3.888800799336541,0.0577817256825344,3.853036485306598,0.0503412239570265,0.57552293314674,0.2741091406630458,0.1936237841084386,0.2094507410332114,0.2147777777777778,development
F27,factorial,148,34.0,26.0,0.2,4.786496671115664,4.002002663507573,0.0672857236238716,3.9363528565826233,0.0417240352731318,0.5895755794285542,0.2801020925133554,0.1979585961232642,0.2034394468494145,0.2198518518518518,development
F27,factorial,149,34.0,28.0,0.15,4.915986794798286,4.075330575992238,0.0643968620239702,4.076311275883034,0.039438155475853,0.6082159524498807,0.2907617995427171,0.2053391644475258,0.1885176675486718,0.2249629629629629,development
F27,factorial,150,34.0,30.0,0.1,5.060280111963718,4.202433842389271,0.0393831777338401,4.212607963528019,0.03349476715954,0.630038653332661,0.3004490137124388,0.2138139592297891,0.1741770999859921,0.2349259259259259,development
F27,factorial,151,34.0,32.0,0.05,5.217333447719655,4.334171321046453,0.0492628365512533,4.341742415128408,0.0384210921050736,0.6443748844777758,0.3107166283802113,0.2198924910990488,0.1618800764035878,0.2462592592592592,development
F27,factorial,152,34.0,34.0,0.0,5.382140939131195,4.5200159850823445,0.0514673404736953,4.516896376804267,0.0322720126906095,0.6679016302005287,0.3237088044830326,0.2306208197396975,0.1414186096966778,0.2527407407407407,development
F27,factorial,153,36.0,2.0,0.85,4.072075402165378,3.338003408751966,0.0604390856133654,3.359233865371395,0.0383013134636728,0.4935735572654928,0.2380755254237775,0.1675206234113409,0.2644139813591,0.1817407407407407,development
F27,factorial,154,36.0,4.0,0.8,4.142404502696735,3.3764988077133054,0.0476332513360567,3.389690418709283,0.0492866481447568,0.4991820754570499,0.2402417399728349,0.1696653078480552,0.2557106956149814,0.1858148148148148,development
F27,factorial,155,36.0,6.0,0.75,4.1714767170092,3.418862559325782,0.0700172252193066,3.4327833348184145,0.0366800382052462,0.5049715503094825,0.2434109158551695,0.1725430600061632,0.249379903767311,0.1847407407407407,development
F27,factorial,156,36.0,8.0,0.7,4.197188445536426,3.462341413101897,0.0592404076903701,3.422092065894149,0.050305509639021,0.5046674302256416,0.2425846379347675,0.1718047745935359,0.2482652793479688,0.1884074074074074,development
F27,factorial,157,36.0,10.0,0.65,4.2267444289188365,3.493911323314344,0.053081225353423,3.4664028597867835,0.0383911790062447,0.5100013186685407,0.2461154972285719,0.1739634156112585,0.2413521192175097,0.1886666666666667,development
F27,factorial,158,36.0,12.0,0.6,4.262718287218529,3.48092338926494,0.0805308317798801,3.4875962711977966,0.0411042698389797,0.5136899672929836,0.2476836709278425,0.1748267144940517,0.2400112335650339,0.1901851851851851,development
