scenario_id,policy_idx,alpha_on,alpha_off,norm_W,norm_BH,norm_BL,norm_cloud
F04,14,10.0,10.0,0.16470991059674564,0.09946830427738032,0.07150337771247636,0.5114869123425327
F04,16,12.0,4.0,0.1872836490079275,0.11441962310897988,0.08440405413970026,0.49088783079361326
F04,17,12.0,6.0,0.19347992509663686,0.11670431827448936,0.0794141498479139,0.4686231746434819
F04,18,12.0,8.0,0.1966614958645246,0.11894739195696602,0.09006994523851058,0.44584081267620324
F04,19,12.0,10.0,0.201593589290974,0.11456610916453717,0.07877389390765853,0.4359199626553613
F04,20,12.0,12.0,0.21399620229085856,0.13229613248174935,0.09374214960845179,0.4220170440568357
F04,21,14.0,2.0,0.20678841333998094,0.111642230602978,0.08178727216959247,0.46047219771491993
F04,22,14.0,4.0,0.21788704053803062,0.14172680301653032,0.09208487679054636,0.42892899739864065
F04,23,14.0,6.0,0.22504809222325997,0.14447651617012577,0.10359387529617131,0.4109916099984193
F04,24,14.0,8.0,0.22360025295475525,0.1454664474838595,0.08555159833609488,0.39338239147442944
F04,25,14.0,10.0,0.234922142102891,0.148947034915035,0.11318551634233709,0.37526256510043643
F04,26,14.0,12.0,0.24187488199312926,0.15593066438886827,0.11064369964935601,0.3656729751105402
F04,27,14.0,14.0,0.2599195784676884,0.16579308981600066,0.1165148053285248,0.3522151449831392
F04,29,16.0,4.0,0.25789321528642795,0.15314740069642438,0.11255449468628123,0.38024326308423084
F04,30,16.0,6.0,0.2572525175904093,0.15584453434576004,0.11154965348460137,0.35920569663529006
F04,31,16.0,8.0,0.2710860533585525,0.18351951297468663,0.12461487913106659,0.341281842272347
F04,32,16.0,10.0,0.27732842174281835,0.16817275846044633,0.13180859407768564,0.3298262083242719
F04,33,16.0,12.0,0.28287510706079827,0.17553829973602458,0.12938043164085172,0.31665901308308314
F04,34,16.0,14.0,0.29242492363417205,0.18803648512362472,0.12351927843605977,0.3077584634004027
F04,35,16.0,16.0,0.2984358715103242,0.166598313025034,0.11441647057214721,0.2960844182491721
F04,40,18.0,10.0,0.3181431078229208,0.20312266109718358,0.15255707775543975,0.28907142732084307
F04,41,18.0,12.0,0.328037039270956,0.20580003610880473,0.13826022928300524,0.2768307330196637
F04,42,18.0,14.0,0.3334056477993631,0.2162740391373013,0.14910972071313727,0.2692485114171724
F04,43,18.0,16.0,0.3460804738375656,0.23016411308019963,0.15734777171276648,0.25430338734594415
F04,44,18.0,18.0,0.35335200200044825,0.23369110187901596,0.1623647313903028,0.24174362052406856
F04,51,20.0,14.0,0.3721259319071508,0.24841588967891562,0.16782445203138377,0.23180409149974304
F04,52,20.0,16.0,0.3878787247679238,0.2557363591921021,0.17546878707714175,0.2238076412276119
F04,53,20.0,18.0,0.39048789589653515,0.2597013148428033,0.17858306013813896,0.2170316605059367
F04,54,20.0,20.0,0.41150057197112727,0.27842988477953207,0.20071285237985806,0.19983173085786707
F04,60,22.0,12.0,0.4095101264205261,0.27328232039014644,0.20465614648462904,0.2163317218618445
F04,61,22.0,14.0,0.4148989193626343,0.28045395043439175,0.19950678425916832,0.20900413955697805
F04,62,22.0,16.0,0.4300285415172818,0.2819234717470402,0.21692375465611077,0.19864917867333
F04,63,22.0,18.0,0.4461589004407663,0.30150375927454404,0.21740105822871464,0.18860626379305923
F04,64,22.0,20.0,0.45773387937590443,0.305284943680479,0.22707058854450587,0.18273629448222029
F04,65,22.0,22.0,0.4783737599796439,0.3313094204895377,0.25485747523196733,0.16978017585474364
F04,72,24.0,14.0,0.46679611813364985,0.3289575699910555,0.23732154442481312,0.18190286702906772
F04,73,24.0,16.0,0.4800150907628392,0.3358696253169528,0.25036402812440434,0.1698211775065121
F04,74,24.0,18.0,0.48845710344427956,0.3410586015608807,0.2781430796190383,0.16592940174143458
F04,75,24.0,20.0,0.506911070121093,0.3568732277350994,0.2824466594286341,0.1510389901053416
F04,76,24.0,22.0,0.5091390632934323,0.3530077542015137,0.26432123864195944,0.14854761454496787
F04,77,24.0,24.0,0.5374562115032159,0.3883056023528731,0.2985658097352244,0.14064105819716585
F04,86,26.0,18.0,0.5354699570205308,0.3971026223273308,0.2993414678735901,0.1423097655401202
F04,87,26.0,20.0,0.5461864150786634,0.40246132798562495,0.3004345970413807,0.1370742512031181
F04,88,26.0,22.0,0.5617665945128181,0.4024782778529755,0.3241596825431669,0.13141681065973676
