scenario_id,design,policy_count,pareto_count,pareto_fraction,distinct_optima_287,equal_weight_idx,robust_idx,robust_is_pareto,robust_differs_from_equal,equal_weight_max_normalized_regret,robust_max_normalized_regret,max_regret_reduction,robust_equal_weight_penalty,equal_profile_fraction_regret_gt_5pct,robust_profile_fraction_regret_gt_5pct,equal_alpha_on,equal_alpha_off,robust_alpha_on,robust_alpha_off
T50,frozen_fresh59,190,155,0.8157894736842105,9,1,177,1,1,0.997062705874176,0.4923193374282607,0.5062303157787662,0.2299708506510298,0.1219512195121951,0.926829268292683,3.489398713025131,1.7446993565125657,33.14928777373874,12.212895495587958
T51,frozen_fresh59,190,138,0.7263157894736842,15,0,98,1,1,1.0,0.4710697869010175,0.5289302130989826,0.200634586169094,0.1463414634146341,0.89198606271777,3.553213392403801,3.553213392403801,49.744987493653205,28.425707139230404
T52,frozen_fresh59,190,101,0.531578947368421,13,1,51,1,1,0.9743130884091024,0.4105563642979143,0.5786196765884699,0.1386457788158091,0.1951219512195122,0.7770034843205574,3.844614677047683,1.9223073385238416,19.22307338523841,13.45615136966689
T53,frozen_fresh59,190,170,0.8947368421052632,13,0,149,1,1,1.0,0.5646394088579817,0.4353605911420183,0.2444223150571162,0.1219512195121951,0.9303135888501742,2.2149136938935388,2.2149136938935388,37.65353279619016,31.00879171450954
T54,frozen_fresh59,190,97,0.5105263157894737,8,0,141,1,1,1.0,0.4268068309727,0.5731931690273,0.1584495604925001,0.1986062717770035,0.7804878048780488,2.5009197140906654,2.5009197140906654,42.51563513954131,15.005518284543992
T55,frozen_fresh59,190,114,0.6,19,0,61,1,1,1.0,0.4350370007851956,0.5649629992148044,0.1672384724875174,0.1951219512195122,0.7770034843205574,3.445453886492392,3.445453886492392,37.89999275141631,24.11817720544673
T56,frozen_fresh59,190,98,0.5157894736842106,12,1,60,1,1,1.0,0.4361992591578728,0.5638007408421273,0.1661475995639857,0.1951219512195122,0.794425087108014,4.223601975005751,2.111800987502876,23.22981086253163,12.670805925017252
T57,frozen_fresh59,190,120,0.631578947368421,12,1,72,1,1,0.966267929176633,0.4389698306959984,0.5457058881483843,0.169105270576344,0.1951219512195122,0.7770034843205574,6.135961555825933,3.0679807779129664,36.81576933495559,21.47586544539076
T58,frozen_fresh59,190,126,0.6631578947368421,14,1,51,1,1,0.9663449852785628,0.4656839442765421,0.5180976241706249,0.1678067501905295,0.1742160278745644,0.8013937282229965,7.607730593581701,3.8038652967908506,38.0386529679085,26.62705707753595
T59,frozen_fresh59,190,93,0.4894736842105263,12,0,83,1,1,1.0,0.4593545222264728,0.5406454777735272,0.1891694186146875,0.1951219512195122,0.8710801393728222,3.6515144183596,3.6515144183596,47.46968743867479,21.9090865101576
V01,fresh_lhs,190,113,0.5947368421052631,16,1,51,1,1,0.9662580643507752,0.4615104497104088,0.5223735079297934,0.1727565794621085,0.1846689895470383,0.8222996515679443,5.51305739097279,2.756528695486395,27.565286954863947,19.29570086840476
V02,fresh_lhs,190,157,0.8263157894736842,16,0,174,1,1,1.0,0.5007112403468764,0.4992887596531236,0.2011482622611898,0.1533101045296167,0.926829268292683,2.1221059486531253,2.1221059486531253,40.32001302440938,8.4884237946125
