rho,qH,tau,method,seed,idx,vh,vl,uh,ul,cert,meanBH,meanBL
0.35,0.8,2.0,G,1,182,150,146,1.0,0.9926874536019917,0,0.16250444797402003,0.13986567347912507
0.35,0.8,2.0,G,2,185,150,146,1.0,0.9926874536019917,0,0.16219366566230609,0.14134757011486376
0.35,0.8,2.0,G,3,185,150,146,1.0,0.9926874536019917,0,0.16219366566230609,0.14134757011486376
0.35,0.8,2.0,G,4,184,150,145,1.0,0.9890898135310887,0,0.1624610816721875,0.1415239968232622
0.45,0.2,0.5,DR,0,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,DR,1,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,DR,2,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,DR,3,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,DR,4,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,G,0,185,149,148,0.99983122885689,0.9983811729701603,0,0.14550301944010136,0.12802977844504917
0.45,0.2,0.5,G,1,167,149,146,0.99983122885689,0.9926874536019917,0,0.14199288537704352,0.12456139316086758
0.45,0.2,0.5,G,2,185,149,148,0.99983122885689,0.9983811729701603,0,0.14550301944010136,0.12802977844504917
0.45,0.2,0.5,G,3,185,149,148,0.99983122885689,0.9983811729701603,0,0.14550301944010136,0.12802977844504917
0.45,0.2,0.5,G,4,185,149,148,0.99983122885689,0.9983811729701603,0,0.14550301944010136,0.12802977844504917
0.45,0.2,2.0,DR,0,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,DR,1,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,DR,2,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,DR,3,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,DR,4,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,G,0,189,150,150,1.0,1.0,0,0.16757147999193778,0.16242347496106443
0.45,0.2,2.0,G,1,189,150,150,1.0,1.0,0,0.16757147999193778,0.16242347496106443
0.45,0.2,2.0,G,2,108,150,150,1.0,1.0,0,0.16320817527240508,0.1551411151869497
0.45,0.2,2.0,G,3,108,150,150,1.0,1.0,0,0.16320817527240508,0.1551411151869497
0.45,0.2,2.0,G,4,81,150,150,1.0,1.0,0,0.16291682339981145,0.15515288952641432
0.45,0.5,0.5,DR,0,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
0.45,0.5,0.5,DR,1,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
0.45,0.5,0.5,DR,2,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
0.45,0.5,0.5,DR,3,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
0.45,0.5,0.5,DR,4,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
