scenario_id,rho,qH,tau,method,init_seed,selected_idx,exhaustive_train_idx,vc,vh,vl,uc,uh,ul,cert,mean_cost_ex,max_cost_ex,mean_dbh,mean_dbl
BG09,0.9,0.5,0.5,Guarded-GP,4,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,0,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,1,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,2,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,3,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,4,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,Guarded-GP,0,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,Guarded-GP,1,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,Guarded-GP,2,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,Guarded-GP,3,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,Guarded-GP,4,3,3,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,DR-BGS,0,6,6,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,DR-BGS,1,6,6,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
