original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio,exact_certifiable_policies,best_policy_idx,best_policy_upper,best_policy_mean_B_H,best_policy_mean_B_L,method_certified_runs,method_runs
BG03,0.7,0.5,200.0,0.65,0.5,0.5,joint_safer,4.071428571428571,155,0.0,0,4,0.15956788512757702,0.004916820475110312,0.0016872537032884204,0,11
BG04,0.7,2.0,40.0,0.025,0.5,2.0,load_path,0.9642857142857143,-1,,190,10,0.02429259716610854,0.0,0.0,11,11
BG03,0.7,0.5,240.0,0.65,0.5,0.5,joint_safer,5.071428571428571,171,0.0,6,6,0.07607232253734687,0.0019347326627279086,0.0009078465298237084,0,11
BG04,0.7,2.0,40.0,0.05,0.5,2.0,joint_safer;load_path,0.9285714285714285,190,0.0,190,159,0.02429259716610854,0.0005074245331677939,0.0002310540892407277,11,11
BG04,0.7,2.0,40.0,0.075,0.5,2.0,load_path,0.8928571428571429,-1,,0,2,0.11918397706692581,0.005655906464754983,0.004940603292927242,0,11
BG04,0.7,2.0,40.0,0.1,0.5,2.0,joint_boundary;load_path,0.8571428571428572,65,0.3204223946113259,0,1,0.44232060259772593,0.01838078307327877,0.01614790930272963,0,11
BG04,0.7,2.0,40.0,0.125,0.5,2.0,load_path,0.8214285714285714,-1,,0,2,0.7414436366064876,0.030493387798254935,0.029162884700946634,0,11
BG04,0.7,2.0,40.0,0.15,0.5,2.0,joint_harder;load_path,0.7857142857142857,0,2.543077268081916,0,3,0.9002480485844134,0.04559282557271749,0.03763663481419877,0,11
BG04,0.7,2.0,40.0,0.2,0.5,2.0,load_path,0.7142857142857143,0,3.0516335157138084,0,0,0.9810344303654225,0.06991940821225265,0.0649526691649713,0,11
BG04,0.7,2.0,40.0,0.25,0.5,2.0,load_path,0.6428571428571428,0,5.072260065890794,0,15,0.9983811729701603,0.10465297508092675,0.08772507854991739,0,11
BG04,0.7,2.0,40.0,0.3,0.5,2.0,load_path,0.5714285714285714,0,5.241451373655929,0,9,0.9983811729701603,0.1134155431632715,0.10467611858552027,0,11
BG04,0.7,2.0,40.0,0.35,0.5,2.0,load_path,0.5,0,4.951155274928428,0,187,1.0,0.14991411318075082,0.14242410890445872,0,11
BG04,0.7,2.0,40.0,0.4,0.5,2.0,load_path,0.4285714285714285,0,5.472026667597904,0,189,1.0,0.16570455290553648,0.14990026591399383,0,11
BG04,0.7,2.0,40.0,0.45,0.5,2.0,load_path,0.3571428571428571,0,8.162828295794986,0,189,1.0,0.18454265770845282,0.1673704963292777,0,11
BG04,0.7,2.0,40.0,0.5,0.5,2.0,load_path,0.28571428571428564,0,6.485671273932868,0,189,1.0,0.18604654775949675,0.17105452426643186,0,11
BG04,0.7,2.0,40.0,0.55,0.5,2.0,load_path,0.21428571428571416,0,8.279085903935336,0,189,1.0,0.19781610424747187,0.1836005734015551,0,11
BG04,0.7,2.0,40.0,0.6,0.5,2.0,load_path,0.14285714285714282,0,8.596786577779168,0,189,0.99983122885689,0.2077290050136754,0.19094292805567273,0,11
BG04,0.7,2.0,40.0,0.65,0.5,2.0,load_path,0.07142857142857134,0,9.583159835915206,0,187,1.0,0.21948928173246926,0.19642530505950756,0,11
BG04,0.7,2.0,40.0,0.7,0.5,2.0,baseline;capacity_path;delay_path;load_path,0.0,0,9.865774378077106,0,189,1.0,0.23331914519383196,0.2068870360613407,0,11
BG04,0.7,2.0,60.0,0.7,0.5,2.0,capacity_path,0.5,0,5.297748449271681,0,6,0.9983811729701603,0.1528418508462074,0.12238997199564357,0,11
BG04,0.7,2.0,80.0,0.7,0.5,2.0,capacity_path,1.0,0,4.523788615293473,0,6,0.9675702718413236,0.11743043719071063,0.0963294509274507,0,11
BG04,0.7,2.0,100.0,0.7,0.5,2.0,capacity_path,1.5,0,2.7198765074469597,0,9,0.9325758603520913,0.10004635673356282,0.07281546800716636,0,11
BG04,0.7,2.0,120.0,0.7,0.5,2.0,capacity_path,2.0,0,4.009566634772822,0,3,0.8722317344011091,0.07237820245391424,0.053757988862940254,0,11
BG04,0.7,2.0,160.0,0.7,0.5,2.0,capacity_path;joint_boundary,3.0,2,0.8264462809917356,0,0,0.6280257890489989,0.046139791465406074,0.03447504602451387,0,11
BG04,0.7,2.0,240.0,0.7,0.5,2.0,capacity_path;joint_boundary,5.0,50,0.1131221719457013,0,3,0.3520217706814359,0.018842550390914804,0.014280199933702638,0,11
BG04,0.7,2.0,200.0,0.7,0.5,2.0,capacity_path;joint_boundary,4.0,6,0.8177570093457943,0,5,0.4830686918302443,0.03096341361613142,0.024619861788138003,0,11
BG04,0.7,2.0,40.0,0.7,0.5,0.1,delay_path,0.95,0,4.967671588927339,0,25,0.99983122885689,0.153466381844507,0.04818544010706498,0,11
