scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,n,viol_H,viol_L,upper_H,upper_L,certified
BG04,0.7,0.5,2.0,121,32.0,4.0,0.2173245055408817,0.1803451760308821,0.2749578265175077,0.29237358379297934,0.3336172577706054,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,122,32.0,6.0,0.2192189397997123,0.17883699885377327,0.27612044655342866,0.28526956197640546,0.3266876289594198,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,123,32.0,8.0,0.22057127067680737,0.18623478148243408,0.2786449661656807,0.27556869981609966,0.31736544474095185,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,124,32.0,10.0,0.22509534333759149,0.18760591549980266,0.27989648123528477,0.25810241152085267,0.3000868837061454,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,125,32.0,12.0,0.22562650363485337,0.18584381404484157,0.28167238016195284,0.26543173502105444,0.3076825920453474,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,126,32.0,14.0,0.22919019738488564,0.1945621481210571,0.2831690134691507,0.2444687237121798,0.28694407573255243,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,127,32.0,16.0,0.23293276361257115,0.2000696479576449,0.28259415487773526,0.22570685897185697,0.26809598220351727,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,128,32.0,18.0,0.23242136101313818,0.19678975768728038,0.28248546423722837,0.2299353110642088,0.2723081306997931,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,129,32.0,20.0,0.2303989220453904,0.19712245261477104,0.28277970078076625,0.22365053665103193,0.2660674917681469,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,130,32.0,22.0,0.23317225065035738,0.19502817971198463,0.2837147282147003,0.22772986546868773,0.2702870747008928,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,131,32.0,24.0,0.23297505380707656,0.20167881709544402,0.28278392800083274,0.21187657560453976,0.2542941648046647,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,132,32.0,26.0,0.23584324611365118,0.20115800655392993,0.2844129684978283,0.20902585085293723,0.25168779612761144,150,150,150,1.0,1.0,0
BG04,0.7,0.5,2.0,133,32.0,28.0,0.2343244501892943,0.20259469414024286,0.2835070176704675,0.20664397497998974,0.2491700276305599,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,134,32.0,30.0,0.2360538172681827,0.2027196940596204,0.28417479147705516,0.19824987999768934,0.2408760987192476,150,150,150,1.0,1.0,0
BG04,0.7,0.5,2.0,135,32.0,32.0,0.2366461792459422,0.2034283458052305,0.28463142487397847,0.19981130980110684,0.24250602353220357,150,150,150,1.0,1.0,0
BG04,0.7,0.5,2.0,136,34.0,2.0,0.217218170648641,0.17766839365754977,0.2756245722978497,0.29186643786271504,0.33321012370739245,150,150,145,1.0,0.9890898135310887,0
