scenario_id,rho,qH,tau,BH_limit,BL_limit,certifiable_policies
BG03,0.7,0.5,0.5,0.25,0.1,0
BG03,0.7,0.5,0.5,0.25,0.125,0
BG03,0.7,0.5,0.5,0.25,0.15,0
BG03,0.7,0.5,0.5,0.25,0.2,3
BG03,0.7,0.5,0.5,0.25,0.25,3
BG03,0.7,0.5,0.5,0.25,0.3,3
BG03,0.7,0.5,0.5,0.25,0.35,3
BG03,0.7,0.5,0.5,0.3,0.05,0
BG03,0.7,0.5,0.5,0.3,0.075,0
BG03,0.7,0.5,0.5,0.3,0.1,0
BG03,0.7,0.5,0.5,0.3,0.125,0
BG03,0.7,0.5,0.5,0.3,0.15,0
BG03,0.7,0.5,0.5,0.3,0.2,49
BG03,0.7,0.5,0.5,0.3,0.25,171
BG03,0.7,0.5,0.5,0.3,0.3,177
BG03,0.7,0.5,0.5,0.3,0.35,177
BG03,0.7,0.5,0.5,0.35,0.05,0
BG03,0.7,0.5,0.5,0.35,0.075,0
BG03,0.7,0.5,0.5,0.35,0.1,0
BG03,0.7,0.5,0.5,0.35,0.125,0
BG03,0.7,0.5,0.5,0.35,0.15,0
BG03,0.7,0.5,0.5,0.35,0.2,49
BG03,0.7,0.5,0.5,0.35,0.25,177
BG03,0.7,0.5,0.5,0.35,0.3,190
BG03,0.7,0.5,0.5,0.35,0.35,190
BG04,0.7,0.5,2.0,0.02,0.05,0
BG04,0.7,0.5,2.0,0.02,0.075,0
BG04,0.7,0.5,2.0,0.02,0.1,0
BG04,0.7,0.5,2.0,0.02,0.125,0
BG04,0.7,0.5,2.0,0.02,0.15,0
BG04,0.7,0.5,2.0,0.02,0.2,0
BG04,0.7,0.5,2.0,0.02,0.25,0
BG04,0.7,0.5,2.0,0.02,0.3,0
BG04,0.7,0.5,2.0,0.02,0.35,0
BG04,0.7,0.5,2.0,0.03,0.05,0
BG04,0.7,0.5,2.0,0.03,0.075,0
BG04,0.7,0.5,2.0,0.03,0.1,0
BG04,0.7,0.5,2.0,0.03,0.125,0
BG04,0.7,0.5,2.0,0.03,0.15,0
BG04,0.7,0.5,2.0,0.03,0.2,0
BG04,0.7,0.5,2.0,0.03,0.25,0
BG04,0.7,0.5,2.0,0.03,0.3,0
BG04,0.7,0.5,2.0,0.03,0.35,0
BG04,0.7,0.5,2.0,0.05,0.05,0
BG04,0.7,0.5,2.0,0.05,0.075,0
BG04,0.7,0.5,2.0,0.05,0.1,0
BG04,0.7,0.5,2.0,0.05,0.125,0
BG04,0.7,0.5,2.0,0.05,0.15,0
BG04,0.7,0.5,2.0,0.05,0.2,0
BG04,0.7,0.5,2.0,0.05,0.25,0
BG04,0.7,0.5,2.0,0.05,0.3,0
BG04,0.7,0.5,2.0,0.05,0.35,0
BG04,0.7,0.5,2.0,0.075,0.05,0
BG04,0.7,0.5,2.0,0.075,0.075,0
BG04,0.7,0.5,2.0,0.075,0.1,0
BG04,0.7,0.5,2.0,0.075,0.125,0
BG04,0.7,0.5,2.0,0.075,0.15,0
BG04,0.7,0.5,2.0,0.075,0.2,0
BG04,0.7,0.5,2.0,0.075,0.25,0
BG04,0.7,0.5,2.0,0.075,0.3,0
BG04,0.7,0.5,2.0,0.075,0.35,0
BG04,0.7,0.5,2.0,0.1,0.05,0
BG04,0.7,0.5,2.0,0.1,0.075,0
BG04,0.7,0.5,2.0,0.1,0.1,0
