original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio
BG03,0.7,0.5,120.0,0.7,0.5,0.5,capacity_path;joint_harder,2.0,0,1.087295227920228
BG03,0.7,0.5,160.0,0.7,0.5,0.5,capacity_path;joint_boundary,3.0,1,0.9715994020926756
BG03,0.7,0.5,200.0,0.7,0.5,0.5,capacity_path;joint_boundary,4.0,15,0.0
BG03,0.7,0.5,240.0,0.7,0.5,0.5,capacity_path;joint_boundary,5.0,109,0.0
BG03,0.7,0.5,40.0,0.7,0.5,0.1,delay_path,0.8,0,4.967671588927339
BG03,0.7,0.5,40.0,0.7,0.5,0.25,delay_path,0.5,0,7.228069321585445
BG03,0.7,0.5,40.0,0.7,0.5,1.0,delay_path,0.0,0,8.95677170895912
BG03,0.7,0.5,40.0,0.7,0.5,2.0,delay_path,0.0,0,9.865774378077106
BG03,0.7,0.5,60.0,0.15,0.5,0.5,joint_safer,1.2857142857142856,36,0.2200778342279246
BG03,0.7,0.5,60.0,0.2,0.5,0.5,joint_boundary,1.2142857142857144,3,0.9143758988212524
BG03,0.7,0.5,60.0,0.25,0.5,0.5,joint_harder,1.1428571428571428,0,1.2802650290308155
BG03,0.7,0.5,80.0,0.2,0.5,0.5,joint_safer,1.7142857142857144,190,0.0
BG03,0.7,0.5,80.0,0.25,0.5,0.5,joint_boundary,1.6428571428571428,14,0.2931323283082077
BG03,0.7,0.5,80.0,0.3,0.5,0.5,joint_harder,1.5714285714285714,0,1.2463937800961964
BG03,0.7,0.5,100.0,0.3,0.5,0.5,joint_safer,2.071428571428571,190,0.147568616226187
BG03,0.7,0.5,100.0,0.35,0.5,0.5,joint_boundary,2.0,18,0.4609346476816356
BG03,0.7,0.5,100.0,0.4,0.5,0.5,joint_harder,1.9285714285714284,0,1.2724657111186
BG03,0.7,0.5,120.0,0.6,0.5,0.5,joint_safer,2.142857142857143,0,1.999891896323262
BG03,0.7,0.5,120.0,0.65,0.5,0.5,joint_boundary,2.071428571428571,7,0.7991551788109712
BG03,0.7,0.5,160.0,0.65,0.5,0.5,joint_safer,3.071428571428571,21,0.3389171035386632
BG03,0.7,0.5,200.0,0.65,0.5,0.5,joint_safer,4.071428571428571,155,0.0
BG03,0.7,0.5,240.0,0.65,0.5,0.5,joint_safer,5.071428571428571,171,0.0
BG04,0.7,2.0,40.0,0.025,0.5,2.0,load_path,0.9642857142857143,-1,
BG04,0.7,2.0,40.0,0.05,0.5,2.0,joint_safer;load_path,0.9285714285714285,190,0.0
BG04,0.7,2.0,40.0,0.075,0.5,2.0,load_path,0.8928571428571429,-1,
BG04,0.7,2.0,40.0,0.1,0.5,2.0,joint_boundary;load_path,0.8571428571428572,65,0.3204223946113259
BG04,0.7,2.0,40.0,0.125,0.5,2.0,load_path,0.8214285714285714,-1,
BG04,0.7,2.0,40.0,0.15,0.5,2.0,joint_harder;load_path,0.7857142857142857,0,2.543077268081916
BG04,0.7,2.0,40.0,0.2,0.5,2.0,load_path,0.7142857142857143,0,3.0516335157138084
BG04,0.7,2.0,40.0,0.25,0.5,2.0,load_path,0.6428571428571428,0,5.072260065890794
BG04,0.7,2.0,40.0,0.3,0.5,2.0,load_path,0.5714285714285714,0,5.241451373655929
BG04,0.7,2.0,40.0,0.35,0.5,2.0,load_path,0.5,0,4.951155274928428
BG04,0.7,2.0,40.0,0.4,0.5,2.0,load_path,0.4285714285714285,0,5.472026667597904
BG04,0.7,2.0,40.0,0.45,0.5,2.0,load_path,0.3571428571428571,0,8.162828295794986
BG04,0.7,2.0,40.0,0.5,0.5,2.0,load_path,0.28571428571428564,0,6.485671273932868
BG04,0.7,2.0,40.0,0.55,0.5,2.0,load_path,0.21428571428571416,0,8.279085903935336
BG04,0.7,2.0,40.0,0.6,0.5,2.0,load_path,0.14285714285714282,0,8.596786577779168
BG04,0.7,2.0,40.0,0.65,0.5,2.0,load_path,0.07142857142857134,0,9.583159835915206
BG04,0.7,2.0,40.0,0.7,0.5,2.0,baseline;capacity_path;delay_path;load_path,0.0,0,9.865774378077106
BG04,0.7,2.0,60.0,0.7,0.5,2.0,capacity_path,0.5,0,5.297748449271681
BG04,0.7,2.0,80.0,0.7,0.5,2.0,capacity_path,1.0,0,4.523788615293473
BG04,0.7,2.0,100.0,0.7,0.5,2.0,capacity_path,1.5,0,2.7198765074469597
BG04,0.7,2.0,120.0,0.7,0.5,2.0,capacity_path,2.0,0,4.009566634772822
BG04,0.7,2.0,160.0,0.7,0.5,2.0,capacity_path;joint_boundary,3.0,2,0.8264462809917356
BG04,0.7,2.0,200.0,0.7,0.5,2.0,capacity_path;joint_boundary,4.0,6,0.8177570093457943
BG04,0.7,2.0,240.0,0.7,0.5,2.0,capacity_path;joint_boundary,5.0,50,0.1131221719457013
BG04,0.7,2.0,40.0,0.7,0.5,0.1,delay_path,0.95,0,4.967671588927339
BG04,0.7,2.0,40.0,0.7,0.5,0.25,delay_path,0.875,0,7.228069321585445
BG04,0.7,2.0,40.0,0.7,0.5,0.5,delay_path,0.75,0,8.321889161345117
BG04,0.7,2.0,40.0,0.7,0.5,1.0,delay_path,0.5,0,8.95677170895912
BG04,0.7,2.0,60.0,0.1,0.5,2.0,joint_safer,1.3571428571428572,190,0.0
BG04,0.7,2.0,60.0,0.15,0.5,2.0,joint_boundary,1.2857142857142856,40,0.6883116883116882
BG04,0.7,2.0,60.0,0.2,0.5,2.0,joint_harder,1.2142857142857144,0,1.5829032362573106
BG04,0.7,2.0,80.0,0.15,0.5,2.0,joint_safer,1.7857142857142856,190,0.1468603635786298
BG04,0.7,2.0,80.0,0.2,0.5,2.0,joint_boundary,1.7142857142857144,39,0.8327014957191115
BG04,0.7,2.0,80.0,0.25,0.5,2.0,joint_harder,1.6428571428571428,0,1.840964959870206
BG04,0.7,2.0,100.0,0.35,0.5,2.0,joint_safer,2.0,66,0.6182724592900379
BG04,0.7,2.0,100.0,0.4,0.5,2.0,joint_boundary,1.9285714285714284,2,0.6475948877507531
BG04,0.7,2.0,100.0,0.45,0.5,2.0,joint_harder,1.8571428571428572,0,1.2229850007496388
BG04,0.7,2.0,120.0,0.45,0.5,2.0,joint_safer,2.357142857142857,2,0.9434789862728052
BG04,0.7,2.0,120.0,0.5,0.5,2.0,joint_boundary,2.2857142857142856,3,0.9455197274492873
BG04,0.7,2.0,120.0,0.55,0.5,2.0,joint_harder,2.214285714285714,0,1.5710252001913725
