original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,viol_H,viol_L,upper_H,upper_L,certified
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,DR-BGS,1,59,22.0,10.0,0.0621514874835592,0.04915014153833533,0.1751166434932658,0.16723622308555292,0.1935037196095428,145,67,0.9890898135310887,0.5299346538729368,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,DR-BGS,2,59,22.0,10.0,0.0621514874835592,0.04915014153833533,0.1751166434932658,0.16723622308555292,0.1935037196095428,145,67,0.9890898135310887,0.5299346538729368,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,DR-BGS,3,59,22.0,10.0,0.0621514874835592,0.04915014153833533,0.1751166434932658,0.16723622308555292,0.1935037196095428,145,67,0.9890898135310887,0.5299346538729368,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,DR-BGS,4,59,22.0,10.0,0.0621514874835592,0.04915014153833533,0.1751166434932658,0.16723622308555292,0.1935037196095428,145,67,0.9890898135310887,0.5299346538729368,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,Guarded-GP,0,69,24.0,8.0,0.06203923007499528,0.04944798951947785,0.1749981166473722,0.16433564640949833,0.19058536390660416,144,62,0.985181478885102,0.49653148662366825,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,Guarded-GP,1,85,26.0,16.0,0.06473389155682421,0.051983008726497276,0.1787888970077683,0.14282510866323653,0.16964344321440178,140,67,0.9675702718413236,0.5299346538729368,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,Guarded-GP,2,68,24.0,6.0,0.06300867082072029,0.05130752490617906,0.17655567218714327,0.15914266870871047,0.18562601953678196,139,67,0.9628253852180945,0.5299346538729368,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,Guarded-GP,3,59,22.0,10.0,0.0621514874835592,0.04915014153833533,0.1751166434932658,0.16723622308555292,0.1935037196095428,145,67,0.9890898135310887,0.5299346538729368,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,Guarded-GP,4,68,24.0,6.0,0.06300867082072029,0.05130752490617906,0.17655567218714327,0.15914266870871047,0.18562601953678196,139,67,0.9628253852180945,0.5299346538729368,0
BG01,0.7,0.5,40.0,0.3,0.2,0.5,load_path,0.5714285714285714,0,2.3669247685050547,Exhaustive-training,-1,118,30.0,28.0,0.1069639131938464,0.09209699006894065,0.22153882597973856,0.1737569299891862,0.206987753886147,150,136,1.0,0.9480298277055218,0
BG01,0.7,0.5,40.0,0.3,0.2,0.5,load_path,0.5714285714285714,0,2.3669247685050547,DR-BGS,0,119,30.0,30.0,0.10563826913438588,0.09278975367247094,0.2213625633991281,0.17447249687628782,0.20767688138615703,150,134,1.0,0.9377894259935293,0
BG01,0.7,0.5,40.0,0.3,0.2,0.5,load_path,0.5714285714285714,0,2.3669247685050547,DR-BGS,1,119,30.0,30.0,0.10563826913438588,0.09278975367247094,0.2213625633991281,0.17447249687628782,0.20767688138615703,150,134,1.0,0.9377894259935293,0
BG01,0.7,0.5,40.0,0.3,0.2,0.5,load_path,0.5714285714285714,0,2.3669247685050547,DR-BGS,2,119,30.0,30.0,0.10563826913438588,0.09278975367247094,0.2213625633991281,0.17447249687628782,0.20767688138615703,150,134,1.0,0.9377894259935293,0
