scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H01,0.7,0.2,0.5,93,28.0,6.0,150,143,99,0.9810344303654225,0.7352749033488588,0,0.08863872228598008,0.07346003859060786,0.2516072682003293,0.40512658088965536,0.4428676711197049,0.18888888888888888,0.15955146764588188
R15H01,0.7,0.2,0.5,94,28.0,8.0,150,148,107,0.9983811729701603,0.7841387291502817,0,0.08907237664297259,0.07504173924716268,0.25500036563080536,0.39801267904770743,0.43626273389232817,0.1756097560975607,0.15196090484386507
R15H01,0.7,0.2,0.5,95,28.0,10.0,150,147,105,0.9958563747187794,0.7720299841976657,0,0.09060249540273513,0.07116106428284037,0.25011396161884863,0.3954200927278663,0.4329371869706937,0.176695205479452,0.13537276800985154
R15H01,0.7,0.2,0.5,96,28.0,12.0,150,145,118,0.9890898135310887,0.8492697634871661,0,0.09641457375414848,0.08063998822816906,0.26162341998076777,0.3804561495155155,0.4196996625126306,0.18297729618163042,0.16160912153177898
R15H01,0.7,0.2,0.5,97,28.0,14.0,150,144,105,0.985181478885102,0.7720299841976657,0,0.09382487691250538,0.07361779245564544,0.25369694484839067,0.3902410983898174,0.4282956401170759,0.18528352835283518,0.1362015489870155
R15H01,0.7,0.2,0.5,98,28.0,16.0,150,149,109,0.99983122885689,0.796171274901832,0,0.0895500831903568,0.07350108863336781,0.25929015275656414,0.3848488920030728,0.42374241491655745,0.15858823529411759,0.13250157133878063
R15H01,0.7,0.2,0.5,99,28.0,18.0,150,148,117,0.9983811729701603,0.8434626615593066,0,0.09860188035119796,0.08254059613203805,0.2653571532199457,0.36578296397853877,0.40558653696153063,0.2096386869354481,0.1515958865797513
R15H01,0.7,0.2,0.5,100,28.0,20.0,150,148,129,0.9983811729701603,0.9112017677435141,0,0.10085992720672186,0.08536568756567967,0.2694387068157255,0.3687979163658355,0.40921372238819437,0.20240364101834732,0.15368473419880602
R15H01,0.7,0.2,0.5,101,28.0,22.0,150,148,118,0.9983811729701603,0.8492697634871661,0,0.09505985169379047,0.07726569904082876,0.26693675163211356,0.37182035217199516,0.4118608649168121,0.18611840775914318,0.14049152869934933
R15H01,0.7,0.2,0.5,102,28.0,24.0,150,148,121,0.9983811729701603,0.8665332141534924,0,0.1035162131899136,0.08407829159194208,0.2739355355450613,0.36306301703729776,0.40415334736905695,0.19703724087323407,0.15160587668046965
R15H01,0.7,0.2,0.5,103,28.0,26.0,150,150,119,1.0,0.8550511836699326,0,0.10477630116354872,0.08546690438800157,0.27724669623813447,0.35145945783229954,0.39304646226801976,0.19416396820724155,0.16125137647007
R15H01,0.7,0.2,0.5,104,28.0,28.0,150,149,126,0.99983122885689,0.8947133221604362,0,0.10737103096959018,0.09018892412119671,0.27985248207123886,0.3567292221642895,0.3987070944749754,0.21084795321637426,0.17837257617728525
R15H01,0.7,0.2,0.5,105,30.0,2.0,150,143,104,0.9810344303654225,0.7659479938008387,0,0.0848120729994972,0.06964316205975075,0.25276698273082576,0.4164344264978986,0.4543494739075224,0.17236036036036032,0.13840434419381784
R15H01,0.7,0.2,0.5,106,30.0,4.0,150,143,109,0.9810344303654225,0.796171274901832,0,0.0896236663875198,0.07408125163551207,0.25123310150676675,0.40899069188333853,0.4466756571093536,0.18633024592781816,0.13747312164020492
R15H01,0.7,0.2,0.5,107,30.0,6.0,150,148,121,0.9983811729701603,0.8665332141534924,0,0.09453846837008852,0.07818379833092595,0.25884679171466946,0.39387104216616803,0.43269806092336843,0.16917268110130926,0.14080030435083346
R15H01,0.7,0.2,0.5,108,30.0,8.0,150,141,106,0.972200022205544,0.7780936839776613,0,0.09289062113015617,0.07381458829666998,0.2535367365169651,0.3941009942400668,0.4321315047176116,0.177707301980198,0.14132700800958153
R15H01,0.7,0.2,0.5,109,30.0,10.0,150,147,115,0.9958563747187794,0.8317747490369354,0,0.09480966425737615,0.08129700051381988,0.26046380863553953,0.38128370727861494,0.4203532785739459,0.19867021276595723,0.1659034283436316
R15H01,0.7,0.2,0.5,110,30.0,12.0,150,147,116,0.9958563747187794,0.8376307280494067,0,0.09510619978668532,0.07843703414068234,0.25950211874684415,0.3854148235002982,0.42434014131232484,0.21181318681318673,0.17268677281077763
R15H01,0.7,0.2,0.5,111,30.0,14.0,150,145,114,0.9890898135310887,0.8258954526996672,0,0.09764079333780641,0.08105169523970727,0.2628984723103208,0.380583974802593,0.42001874564914116,0.18636008337675866,0.1658187505807289
R15H01,0.7,0.2,0.5,112,30.0,16.0,150,145,107,0.9890898135310887,0.7841387291502817,0,0.09681015050148317,0.08085072508622618,0.2637755457543879,0.36581273018022037,0.4053790620433784,0.18784034653465345,0.14856203922659617
R15H01,0.7,0.2,0.5,113,30.0,18.0,150,147,115,0.9958563747187794,0.8317747490369354,0,0.10155754373149797,0.08629221721948632,0.2693915715630619,0.35858144130358804,0.39899017703804734,0.21612976406533546,0.16985750335694771
R15H01,0.7,0.2,0.5,114,30.0,20.0,150,148,124,0.9983811729701603,0.8835378266393749,0,0.1036466831249799,0.08724813292244271,0.27408890542181497,0.35440662570587195,0.3955199615191442,0.18887970918704552,0.1774052478134109
