scenario_id,rho,qH,tau,method,init_index,selected_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H03,0.7,0.5,0.5,DR-BGS,1,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H03,0.7,0.5,0.5,DR-BGS,2,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H03,0.7,0.5,0.5,DR-BGS,3,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H03,0.7,0.5,0.5,DR-BGS,4,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H03,0.7,0.5,0.5,Guarded-GP,0,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H03,0.7,0.5,0.5,Guarded-GP,1,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H03,0.7,0.5,0.5,Guarded-GP,2,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H03,0.7,0.5,0.5,Guarded-GP,3,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H03,0.7,0.5,0.5,Guarded-GP,4,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H04,0.7,0.5,2.0,Exhaustive-training,-1,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,DR-BGS,0,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,DR-BGS,1,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,DR-BGS,2,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,DR-BGS,3,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,DR-BGS,4,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,Guarded-GP,0,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,Guarded-GP,1,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,Guarded-GP,2,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,Guarded-GP,3,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
R15H04,0.7,0.5,2.0,Guarded-GP,4,5,6.0,6.0,150,150,133,1.0,0.9325758603520913,0,0.17353499511255943,0.13296334772268234,0.33745610520371316,0.3714377494746198,0.4220561652551768,0.3259907889952733,0.2672512541806019
