scenario_id,rho,qH,tau,method,init_index,selected_idx,alpha_on,alpha_off,confirmed,A_n,A_viol_H,A_viol_L,A_upper_H,A_upper_L,A_certified,A_mean_B_H,A_mean_B_L,A_mean_W,A_mean_cloud_fraction,A_mean_op_cost,A_p95_B_H,A_p95_B_L,B_n,B_viol_H,B_viol_L,B_upper_H,B_upper_L,B_certified,B_mean_B_H,B_mean_B_L,B_mean_W,B_mean_cloud_fraction,B_mean_op_cost,B_p95_B_H,B_p95_B_L
R15L03,0.05,0.5,0.5,DR-BGS,4,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
R15L03,0.05,0.5,0.5,DR-BGS,5,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
R15L03,0.05,0.5,0.5,DR-BGS,6,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
R15L03,0.05,0.5,0.5,DR-BGS,7,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
R15L03,0.05,0.5,0.5,DR-BGS,8,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
R15L03,0.05,0.5,0.5,DR-BGS,9,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,0,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,1,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,2,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,3,22,14.0,4.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,4.504504504504505e-06,0.030123781922620576,0.0004083902861034014,0.004926957574496488,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170811392347913,0.00023520587570148216,0.004760827584553668,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,4,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,5,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,6,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,7,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,8,22,14.0,4.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,4.504504504504505e-06,0.030123781922620576,0.0004083902861034014,0.004926957574496488,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170811392347913,0.00023520587570148216,0.004760827584553668,0.0,0.0
R15L03,0.05,0.5,0.5,Guarded-GP,9,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L04,0.05,0.5,2.0,Exhaustive-training,-1,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030177785647322725,0.0002760198509410146,0.004802687698039424,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030055748845885688,0.00022152083870883373,0.004729883165591686,0.0,0.0
