scenario_id,policy_idx,alpha_on,alpha_off,train_score,train_score_se,train_op_cost,train_W,train_B_H,train_B_L,train_cloud_fraction,diffusion_score,diffusion_W,diffusion_B_H,diffusion_B_L,diffusion_cloud_fraction,K,rho,qH,tau
C01,75,24.0,20.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647082,0.02177227584431388,1.5120410547656242e-10,1.5120410547656242e-10,0.0,40.0,0.05,0.2,0.5
C01,76,24.0,22.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647079,0.021772275844313863,1.5120410547656232e-10,1.5120410547656232e-10,0.0,40.0,0.05,0.2,0.5
C01,77,24.0,24.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647076,0.02177227584431384,1.512041054765622e-10,1.512041054765622e-10,0.0,40.0,0.05,0.2,0.5
C01,78,26.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,79,26.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,80,26.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647097,0.02177227584431398,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,81,26.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647095,0.021772275844313967,1.5120410547656304e-10,1.5120410547656304e-10,0.0,40.0,0.05,0.2,0.5
C01,82,26.0,10.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470927,0.021772275844313953,1.5120410547656296e-10,1.5120410547656296e-10,0.0,40.0,0.05,0.2,0.5
C01,83,26.0,12.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647091,0.02177227584431394,1.5120410547656283e-10,1.5120410547656283e-10,0.0,40.0,0.05,0.2,0.5
C01,84,26.0,14.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470887,0.021772275844313925,1.5120410547656276e-10,1.5120410547656276e-10,0.0,40.0,0.05,0.2,0.5
C01,85,26.0,16.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647086,0.021772275844313908,1.5120410547656268e-10,1.5120410547656268e-10,0.0,40.0,0.05,0.2,0.5
C01,86,26.0,18.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470844,0.021772275844313897,1.5120410547656255e-10,1.5120410547656255e-10,0.0,40.0,0.05,0.2,0.5
C01,87,26.0,20.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647082,0.02177227584431388,1.5120410547656242e-10,1.5120410547656242e-10,0.0,40.0,0.05,0.2,0.5
C01,88,26.0,22.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647079,0.021772275844313863,1.5120410547656232e-10,1.5120410547656232e-10,0.0,40.0,0.05,0.2,0.5
C01,89,26.0,24.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647076,0.02177227584431384,1.512041054765622e-10,1.512041054765622e-10,0.0,40.0,0.05,0.2,0.5
C01,90,26.0,26.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647073,0.02177227584431382,1.5120410547656208e-10,1.5120410547656208e-10,0.0,40.0,0.05,0.2,0.5
C01,91,28.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,92,28.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,93,28.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647097,0.02177227584431398,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,94,28.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647095,0.021772275844313967,1.5120410547656304e-10,1.5120410547656304e-10,0.0,40.0,0.05,0.2,0.5
C01,95,28.0,10.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470927,0.021772275844313953,1.5120410547656296e-10,1.5120410547656296e-10,0.0,40.0,0.05,0.2,0.5
C01,96,28.0,12.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647091,0.02177227584431394,1.5120410547656283e-10,1.5120410547656283e-10,0.0,40.0,0.05,0.2,0.5
C01,97,28.0,14.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470887,0.021772275844313925,1.5120410547656276e-10,1.5120410547656276e-10,0.0,40.0,0.05,0.2,0.5
